barangay,psgc_code,municipality,province,country
Burnay,1004309001,Gitagum,Misamis Oriental,Philippines
Carlos P. Garcia,1004309002,Gitagum,Misamis Oriental,Philippines
Cogon,1004309004,Gitagum,Misamis Oriental,Philippines
Gregorio Pelaez (Lagutay),1004309005,Gitagum,Misamis Oriental,Philippines
Kilangit,1004309006,Gitagum,Misamis Oriental,Philippines
Matangad,1004309007,Gitagum,Misamis Oriental,Philippines
Pangayawan,1004309008,Gitagum,Misamis Oriental,Philippines
Poblacion,1004309009,Gitagum,Misamis Oriental,Philippines
Quezon,1004309010,Gitagum,Misamis Oriental,Philippines
Tala-o,1004309011,Gitagum,Misamis Oriental,Philippines
Ulab,1004309012,Gitagum,Misamis Oriental,Philippines
